dataset,origin,id,doc,summ,cut,error_type,annotated_span
Goyal’21,xsum,39673283,"watch out for plenty of brinkmanship, particularly on a key amendment to the criminal finances bill - lrb - see below - rrb -. this will also make the whole timetable pretty fluid and prone to last minute alteration as new events are crowbarred in. a few of the mps who are departing at this election may deliver their commons swansongs - and the final pmqs could be a particularly bare - knuckle occasion. meanwhile, up on the committee corridor, it's raining reports, as the various select committees rush out the results of their inquiries - up to 50 more reports should be out before dissolution. the subjects include : the women and equalities committee on building for equality : disability and the built environment ; the education committee on exiting the eu : challenges and opportunities for higher education ; scottish affairs on jobcentre plus closures, and public accounts - lrb - which has quite a few offerings in the pipeline - rrb - on the hmrc estate. the commons meets at 2. 30 pm for communities and local government questions - with any urgent questions or ministerial statements likely to be slotted in at 3. 30 pm. the main event will be the rushing through of the northern ireland - lrb - ministerial appointments and regional rates - rrb - bill, which is designed to keep the devolved system in place while the political parties on the assembly negotiate to set up a new executive. the adjournment led by the conservative richard drax in on primates as pets - it will raise the issues highlighted in a petition of more than 110, 000 signatures calling for new welfare standards for primates. this had been gathered by visitors to monkey world, a primate rescue centre in mr drax's constituency, which calls for a change the law so that those who want to keep primates have to meet exacting standards of welfare that equal those found in zoos and wildlife parks. in westminster hall - lrb - 4. 30 pm - rrb - mps debate e - petition 172405 on closed book examinations for gcse english literature. the exams require students to learn and memorise as many as 250 quotations from 15 poems, two plays and a novella. the petition argues that the exams should not test the student",it is the last day of the assembly session before the general election - and the last chance for any last minute last minute changes to the timetable.,val,['noise'],[['last minute last minute']]
Goyal’21,xsum,38091786,"solomona scored 40 tries in the 2016 season, including a record total of 40 in super league. tigers chairman steve gill said in october that the 23 - year - old samoan was not for sale and would be returning to the club on 7 november. bbc sport understands solomona has held talks with rugby union side sale. the premiership club declined to comment on the story.",huddersfield tigers winger denny solomona has held talks with rugby union side st helens about a move to the super league club.,test,"['extrinsic-NP', 'intrinsic-NP']","[['huddersfield tigers'], ['rugby union side st helens']]"
Goyal’21,xsum,31306714,"as well as outlawing driving while under the influence of illegal drugs, new legislation will include some prescription medicines. but prescribed doses do not exceed the limits for legal drugs, so most patients should still be safe to drive. those who are unsure are advised to seek the advice of a pharmacist. the new law, to be introduced 2 march 2015 in england and wales, aims to catch those who put the lives of others at risk while driving under the influence of drugs. it sets very low levels for eight well known illegal drugs, including cannabis and cocaine, but also includes eight prescription drugs, where the levels have been set much higher. most of them, including temazepan and diazepam, are used for treating conditions such as anxiety. but the list also includes methadone, a heroin substitute and pain medication, and morphine, a powerful opiate also used for pain relief. robert goodwill mp, road safety minister, says as long as they stay within prescribed levels, most people will still be able to get behind the wheel of a car. ` ` if you are taking your medicine as directed and your driving is not impaired, then you are not breaking the law and there is no need to worry,'' he said. ` ` we advise anyone who is unsure about the effects of their medication or how the new legislation may affect them, to seek the advice of their doctor or pharmacist. ` ` there will also be a medical defence if a driver has been taking medication as directed and is found to be over the limit but not impaired. ` ` drivers who are taking prescribed medication at high doses - lsb - are advised - rsb - to carry evidence with them, such as prescriptions slips, when driving in order to minimise any inconvenience should they be asked to take a test by the police.'' prof david taylor, a spokesman for the royal pharmaceutical society and a member of the department for transport advisory panel on drug - driving said ` ` don't stop taking your medicines, prescribed or otherwise, if you are worried about this new law. ` ` instead, talk to your doctor or pharmacist for information about how your medicines might affect your ability to drive. ` ` they'll be happy to give you the advice you need to stay safe.'' ed morrow, campaigns officer for road safety charity brake said the organisation strongly",some prescription medicines used for treating conditions such as anxiety and pain relief will be banned under a new law coming into force in england and wales in march 2015.,val,['intrinsic-predicate'],[['medicines…banned']]
Goyal’21,xsum,37407529,"he was a reserve player at derby before his career was ended by injury. guthrie became the rams'trainer and then kit manager, working with more than a dozen managers including brian clough over the course of six decades. he was appointed an mbe in 2009 for services to football and has a stand named after him at the ipro stadium. despite falling ill four years ago, he was still a regular on match days and usually sat in his familiar seat in the home dugout until very recently. ` ` it goes without saying everyone at derby county is saddened to learn of the passing of gordon,'' said sam rush, the club's president and chief executive. ` ` our thoughts and condolences are with gordon's family and friends at this time.'' a minute's silence will be held in memory of guthrie prior to derby's efl cup third - round tie against liverpool on tuesday. former striker andy garner, who began his career at derby and more recently was part of their coaching staff, said guthrie was like a father figure to youngsters at the club. ` ` i found it quite daunting, being a young man and coming to derby from a small village,'' garner told bbc radio derby. ` ` although i was a big, strong lad, i needed somebody like gordie. i was lonely at times and he definitely helped me. ` ` it was a joy for me. i absolutely loved my two - year apprenticeship and gordie was always there for us. the players and the staff all loved him being there.''","derby county have paid tribute to gordie guthrie, who has died at the age of 90 after a short illness.",test,['extrinsic-predicate'],"[['after a short illness, at the age of 90']]"
Goyal’21,xsum,27421493,"the 19 - year - old, from staffordshire, died on wednesday after a four - year battle with the disease. stephen's appeal in aid of the teenage cancer trust on his just giving page has now raised # 3. 7 m. there are now plans to make a film about his life, using footage shot over the past 12 months. film - maker grigorij richters, 26, from hamburg, germany, met stephen at the champions league final at wembley in may 2013 and they became friends. the visit to wembley was on the ` ` bucket list'' of 46 ambitions stephen wanted to achieve before he died, along with raising money for the teenage cancer trust. the pair agreed to film the bucket list together and he now has hours of footage, which he wants to use to tell stephen's story. mr richters said stephen was ` ` a young man who did the inconceivable, the unbelievable, at a young age''. at his former school, chase terrace technology college in burntwood, people have queued to sign a book of condolence and leave flowers. tributes have also been written in chalk on pavements in birmingham. suggestions on social media that there should be a permanent memorial in the city will go before the broad street walk of stars committee in the summer. mike olley, the manager of broad street in birmingham, where the stars are located said : ` ` we are always happy to take suggestions for the walk of stars. ` ` many people have nominated stephen now and i am delighted to put this before the committee.''","tributes are continuing to pour in for footballer stephen van der veen, who has died of cancer.",val,['extrinsic-NP'],[['stephen van der veen']]
Goyal’21,xsum,35550946,"no batsman from bapchild cricket club was able to get off the mark against christ church university in canterbury. ` ` we couldn't believe it, all they needed to do was hit a wall to get one run,'' christ church player mike rose told the crawley observer. somerset club langport set the record for the lowest score when they were dismissed for zero in 1913. wirral cc were bowled out for three in a cheshire league division three fixture in 2014 - though they had 11 players and were 0 - 8 at one stage. and kent village team saltwood cc scored 216 before bowling martin walters out for zero in 8. 2 overs during a match in 1964. in first - class cricket, the lowest score ever made is six - by ` ` the b's'' against england at the old lord's ground in 1810 - while new zealand's 26 against england in 1955 remains the lowest total scored in a test match.",cricket has a new record for the lowest score ever made in a one-day international match - when a team were bowled out for zero in a match in kent.,test,['extrinsic-NP'],[['international']]
Goyal’21,xsum,35572815,"there were 11, 002 casualties in total, with a 37 % increase in women affected and 14 % for children. the afghan government accused the taliban of targeting civilians, especially women, to spread fear. the un's human rights chief said such ` ` brutal and unprincipled attacks'' were forbidden under international law. ` ` this is happening with almost complete impunity,'' zeid ra'ad al - hussein said in the report produced by the un assistance mission for afghanistan - lrb - unama - rrb -. ` ` the perpetrators of the violations... must be held to account.'' since the withdrawal of international troops from afghanistan began after 2011 and the official end of nato's combat mission in december 2014, the number of civilian casualties has risen year on year. the report blamed ground fighting in and around populated areas, along with suicide bombings and other attacks in cities for the 3, 545 deaths and 7, 457 injuries it recorded. this is a 4 % increase on last year's figures. although there were 156 fewer civilian deaths compared to 2014, the number of injuries soared, pushing the overall casualty figure to the highest level since the un started keeping records in 2009. ` ` unprecedented numbers of children were needlessly killed and injured last year,'' unama's danielle bell said in a statement. the afghan government said the un's report did not accurately reflect how many civilians were killed in suicide attacks as it only covered ` ` high - conflict areas'' whereas its statistics covered the whole country. a brother of a man who had gone out to fetch water for his family in kunduz city on 1 october told the un : ` ` he called my mobile and said, ` hey brother... i was shot in my stomach... i don't know who shot me... my injuries are serious... i can see pieces of my own intestines on my motorcycle.'` ` after that, the line went dead... no - one could reach the site of the incident to take him back because of the fighting. his body remained in the streets for three days, until my relatives could recover it and bury him.'' the taliban over - ran the northern afghan city of kunduz in september and left several weeks later after","the number of civilians killed and injured by the taliban in afghanistan rose by more than a third in 2015 compared to the previous year, according to a un report.",val,['intrinsic-predicate'],[['by the taliban']]
Goyal’21,xsum,37708125,"plaid is cooperating with labour's minority government from opposition. ms wood said there was ` ` ongoing discussion'' about whether it was better to formally share power, with members genuinely torn over the ` ` dilemma''. but plaid cymru am neil mcevoy said that the agreed official position was against coalition and ` ` reports to the contrary surprise me''. the south wales central am is due to speak at a fringe meeting at plaid cymru's conference on saturday in opposition to joining labour in the welsh government. but ms wood told bbc wales that her party was ` ` actively considering this all the time''. ` ` this question of how best plaid cymru can play a role that protects wales'best interests,'' she said. ` ` we have taken the view thus far that we can use this minority government situation to get as many of our manifesto commitments through and to influence other aspects like legislation, like the debate on brexit. ` ` but we have also taken the view that the government deserves opposition as well and scrutiny and we can't afford to leave it just to the parties of the right to do that.'' ` ` that could change as time goes on, but as things stand at the moment the compact has served us well and the fact that we've managed to deliver a # 119m worth of our commitments in the budget shows that it's working quite well for us at the moment.'' the compact was the agreement plaid made with labour to allow carwyn jones to return as first minister, a week after he and ms wood were deadlocked in a vote to take the top job. the two parties have a ` ` good working relationship'', she said, but there remained big differences between them over brexit. ms wood added : ` ` i think people - lsb - in plaid - rsb - are genuinely torn between the two views of whether or not they - lsb - labour - rsb - are so bad at governing that we should be in there helping them, or they are doing such a bad job they need to be held to account with a strong opposition. this is the dilemma. ` ` i think that's the conundrum for most members.'' simon thomas, who represented plaid cymru in the compact negotiations, stressed what he saw","the leader of plaid cymru, carwyn jones, has told bbc wales that her party is considering whether to formally join the welsh government.",test,"['extrinsic-NP', 'intrinsic-NP']","[['carwyn jones'], ['the welsh government']]"
Goyal’21,xsum,36727855,"mr comey will have to explain to a house committee why he recommended the likely democratic presidential nominee should not be prosecuted. over 100 classified messages were found on her email servers, the fbi said. on wednesday, us attorney general loretta lynch confirmed that no charges would be brought. mrs lynch was accused by republican donald trump, who is likely to do battle with mrs clinton for the white house, of being bribed by the former first lady. he said she agreed to let mrs clinton off the hook in return for the promise that she would keep her job if the democrat won the election and became president. the news that the attorney general met former president bill clinton, mrs clinton's husband, last week on the tarmac of an airport in arizona prompted accusations by republicans of a stitch - up. on tuesday, the fbi said mrs clinton and her staff were ` ` extremely careless'' in handling classified materials but there was no evidence of intentional wrongdoing. mr comey's statement contradicted mrs clinton who previously said she had not knowingly sent or received classified material from her private email account. he will testify on thursday before the house committee on oversight and government reform, led by republican jason chaffetz. ` ` the fbi's recommendation is surprising and confusing,'' mr chaffetz said. ` ` the fact pattern presented by director comey makes clear secretary clinton violated the law,'' he said. ` ` individuals who intentionally skirt the law must be held accountable.'' a statement from mrs clinton's campaign team called it ` ` yet another taxpayer - funded sham of an inquiry to try to hurt hillary clinton politically''. it has been a common theme in the presidential campaigns of mr trump on the right and bernie sanders on the left that establishment insiders live under their own set of rules. while average americans are left to their fate, big bankers get bailouts, big businesses get handouts, and the elite are insulated from the consequences of their actions. for those with this outlook, the failure to indict hillary clinton - or even hold her accountable in a non - criminal manner - is yet another example of the benefits that come along with high positions of power. while comey insisted that there was little precedent for a prosecution given that mrs clinton did not intentionally mishandle classified information or do so in a ` `",the director of the us federal bureau of investigation (fbi) james comey will testify on thursday about his recommendation that hillary clinton should not face criminal charges for mishandling classified information on her private email account.,val,,
Goyal’21,xsum,36619344,"the temperature in inverness this morning was about 16c - t - shirts, shorts and ice cream - fizzing - in - a - coke float weather - but the couple on the high street were bundled up in raincoats. the ever present hazard of vox popping in the highland capital is that nine out of 10 times you will stop a tourist. the visitors, mainly from europe, come here in their thousands at almost every time of the year, spilling merrily out of coaches that park below the hilltop inverness castle. hundreds of tourists in inverness on friday were not only treated to fine summer weather, but the sight of a large pipe band in the high street. the husband and wife i had stopped were french and gamely entertained my attempt to ask them about the referendum, helped by a few gestures towards the campaign signs tied to nearby lampposts. two years ago, during the scottish independence referendum, the high street was very quickly festooned with yes signs. this time the campaign notices were slow to appear and, at first, with a notable absence of those backing remain. bbc scotland took to the streets of towns and cities across the country to find out what people feel about the decision to leave the eu. as the final results show, however, that the city and wider highlands and islands favoured staying in the eu - 56 % of those who voted in the highlands were for remain, while the figure was 55 % in the western isles. in 1975, when voters last gave their verdict on european membership, the western isles returned a decisive ` ` no''. after the isles'latest poll result, islander and remain campaigner, lewis macaskill, told bbc alba : ` ` it is very significant, especially when you consider the western isles was the area back in 1975 that most heavily voted against the then eec. ` ` it is a sign of how things have changed and how far we have come along.'' felix quero, a leave campaigner on the islands, conceded the result for him locally was disappointing. but he added : ` ` in the bigger picture it is not such a bad thing. i feel we have rattled the cages of the establishment.'' back in inverness, snp mp drew hendry came into the bbc scotland studios with a message for the many european migrant workers who live in",a couple stopped me on the high street in inverness this morning to ask me what i thought about the decision to leave the european union.,test,['intrinsic-predicate'],[['ask me']]
Goyal’21,xsum,33546468,"pakistan accused india of unprovoked firing in which four civilians died and five others were injured. india said one woman was killed and three other civilians wounded in firing by pakistani soldiers. pakistan's army also said it shot down an indian spy drone in kashmir. pakistan summoned the indian ambassador on thursday to hear a ` ` strong protest over airspace violation'', the afp news agency quoting a statement issued by the pakistani foreign ministry said. the incidents come days after mr modi accepted an invitation from mr sharif to attend a regional summit in islamabad next year, signalling a new thaw in a strained relationship. this will be mr modi's first visit to pakistan after he took power last year. india and pakistan have often accused each other of unprovoked firing along the disputed border. a ceasefire agreed in 2003 remains in place, but the neighbours often accuse each other of violating it. pakistan's military said four civilians, including a 18 - year - old girl, had died and five others were wounded when indian troops fired across the de facto border in sialkot region on wednesday morning. across the border, indian border guards said one woman had been killed and three other civilians injured when pakistani soldiers fired shells which exploded near a border village in pargwal area on wednesday. ` ` it was a blatant, unprovoked cease - fire violation by pakistan,'' d parekh of india's border security force told the associated press news agency. meanwhile, india's army and air force have denied that any of their drones had been shot down or crashed in pakistan, reports said. ` ` an indian spy drone was shot down by pakistani troops which intruded into pakistan along - lsb - the de facto border that divides the region - rsb - near bhimber today. the spy drone is used for aerial photography,'' a statement from the pakistani military said on wednesday. but a spokesperson of the indian army denied the report. ` ` some reports of a drone crash in pok - lsb - pakistan - controlled kashmir - rsb - are being referred to. no drone or uav - lsb - unmanned aerial vehicle - rsb - crash of the indian army has taken place,'' the spokesperson told","the neighbours india and pakistan have accused each other of violating the de facto border along their disputed border in the disputed kashmir region on wednesday, with both sides blaming each other for the deaths of four civilians.",val,,
Goyal’21,xsum,34687793,"led by durham wildlife trust, the scheme will see a preservation plan drawn up for the river skerne. it will include initiatives to protect natural habitats as well as industrial and agricultural sites. if successful, organisers say a further # 2. 6 m from the heritage lottery fund will be unlocked as well as # 500, 000 from other sources. the project, called the bright water landscape partnership, covers 200sq km - lrb - 77sq miles - rrb - and focuses on the river skerne from hurworth burn reservoir in east durham to south park in darlington.",the first phase of a multi-million pound project to protect a river in east yorkshire has been given the go ahead.,test,['extrinsic-NP'],"[['east yorkshire'], ['east yorkshire']]"
Goyal’21,xsum,35957773,"the manchester united forward, 30, scored seven goals in their euro 2016 qualifying campaign, but has not played since a knee injury in february. the top two scorers in this season's premier league are both england strikers, harry kane and jamie vardy. ` ` over the past two years my form for england has been really good. i've scored a lot of goals,'' rooney said. ` ` i'll keep trying to, first and foremost, help the team be successful and if i can score the goals to help achieve that then that'll be great. ` ` i've still got a few years left, i feel,'' he told the pfa's 4 the player magazine. ` ` i'm always just thinking about what comes next and making sure i'm at my best for the summer. ` ` i feel i'm a lot more patient now in my play. when i was younger i could be impatient and i'd end up in positions i didn't really need to be in.''","striker wayne rooney has told the pfa's 4 the player magazine that he is looking forward to ""a few years left"" in his england career.",val,['intrinsic-NP'],[['striker']]
